signal,mean,std,min,max,power
carrier_1,0.0033450017169184675,0.7070004315615012,-0.9999999901012192,0.9999999891789174,0.49986079926463506
ca_code_1,0.0618,0.9980885531855378,-1.0,1.0,1.0
nav_data_1,-0.01,0.9999499987499375,-1.0,1.0,1.0
gps_signal_1,0.008899412173666552,0.6417515482611486,-1.6997506133781044,1.699839760451095,0.41192424923261817
carrier_2,0.0033450017169184675,0.7070004315615012,-0.9999999901012192,0.9999999891789174,0.49986079926463506
ca_code_2,0.0618,0.9980885531855378,-1.0,1.0,1.0
nav_data_2,0.014666666666666666,0.9998924386597234,-1.0,1.0,1.0
gps_signal_2,-0.011671478142918454,0.6415855017067956,-1.6994418423379123,1.699839760451095,0.4117681794024012
carrier_3,0.0033450017169184675,0.7070004315615012,-0.9999999901012192,0.9999999891789174,0.49986079926463506
ca_code_3,0.0618,0.9980885531855378,-1.0,1.0,1.0
nav_data_3,0.04066666666666666,0.9991727689555105,-1.0,1.0,1.0
gps_signal_3,0.0033350468715503457,0.6426114870839992,-1.699839760451095,1.6996899977133355,0.41296064586994424
carrier_4,0.0033450017169184675,0.7070004315615012,-0.9999999901012192,0.9999999891789174,0.49986079926463506
ca_code_4,0.0618,0.9980885531855378,-1.0,1.0,1.0
nav_data_4,0.0006666666666666666,0.999999777777753,-1.0,1.0,1.0
gps_signal_4,-0.00662932331397495,0.6425213117252363,-1.6994959733597932,1.699839760451095,0.41287758394871954
clean_combined,-0.001516585602919127,0.323547396768257,-1.6980920255424816,1.6950835938072386,0.10468521798740688
jammer_continuous,-0.006154167108753124,96.66942712423631,-136.6991465596489,136.69914660466068,9344.978178401805
jammed_continuous,-0.007664996239000356,96.67075376894024,-138.19491524262327,138.09610951445157,9345.23469300724
demodulated_continuous,0.07218106186645282,22.7660687116091,-95.20835280392154,93.58710980011128,518.299094687399
jammer_swept,0.018648297556330556,3.939509336406197,-5.572099829379209,5.572099829559738,15.520081570633344
jammed_swept,0.01713312986970939,3.951668069212154,-7.245668371408919,7.15923283803335,15.615974073370046
demodulated_swept,0.004862001711599273,0.9556096981235687,-3.8463694520909733,4.397503536962935,0.9132135342084616
jammer_pulsed,-0.006772064123615035,1.665326491323479,-3.872447252438081,3.8724472672559327,2.7733581835562644
jammed_pulsed,-0.008285779708166314,1.696837888815435,-5.560479930638742,5.417056909383399,2.8793274750649944
demodulated_pulsed,-0.007753901572271119,0.45194854271288243,-3.000675831079872,2.7504302151041626,0.20431760824989056
jammer_broadband,-0.7785567516908334,361.7181664339716,-1596.2736481794125,1397.374411851453,130840.63807896998
jammed_broadband,-0.7800748410283269,361.71885726263065,-1596.2739060010347,1397.8919575061702,130841.14021614095
demodulated_broadband,1.459681652077595,76.73274512530472,-283.0539416706787,342.7976096644661,5890.044844990387
jammer_smart,-0.0006697398485906661,10.581302849637263,-24.430169739448125,24.42741879868156,111.9639704442931
jammed_smart,-0.002184354168263182,10.585505553372494,-26.031141211087427,25.114550070717808,112.05293259188305
demodulated_smart,0.06596127177472319,2.569399499894816,-15.655909609496499,16.69072106643753,6.606164679433867
